"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Поиск на Википедии","Форма поиска","Поиск при отсутствии саджеста","0","0","1","0","0"
"Поиск на Википедии","Форма поиска","Переход по первой подсказке","0","0","1","0","0"
"Поиск на Википедии","Форма поиска","Клик по нижней подсказке саджеста","0","0","1","0","0"
"Поиск на Википедии","Форма поиска","Переход по кнопке лупы","0","0","1","0","0"
"Поиск на Википедии","Форма поиска","Появление саджестов при вводе","0","0","1","0","0"
